SN,accession_name,SPROUT,RTNO,SHTWT,RTWT,FYLD,DM,DYLD,HI,L,A,B,SINDEX,,Selected,
1,IITA-TMS-IBA000070,0.95,190.48,43.85,75.75,37.87,40.89,14.99,0.64,87.7,0.25,15.55,106.8,21.36044284,,
2,TMS18F1083P0032,0.96,208.75,45.07,73.2,36.6,42.08,14.88,0.62,87.51,0.43,15.72,98.45,,Yes,
3,TMS19F1219P0091,0.96,189.58,59.73,76.67,38.33,37.81,14.44,0.57,87.1,0.53,31.01,91.42,,Yes,
4,TMS18F1139P0088,0.92,205,48.48,76.31,38.15,39.59,14.77,0.61,87.67,0.35,15.34,88.29,,Yes,
5,TMS18F1317P0102,0.92,189.13,49.38,72.96,36.48,40.84,14.61,0.6,87.4,0.47,14.99,57.63,,Yes,
6,TMS19F1189P0046,0.93,223.48,49.11,75.57,37.78,37.39,14.24,0.61,87.06,0.82,30.98,55.38,,Drop,
7,TMS18F1280P0121,0.99,209.35,44.47,72.17,36.09,41.37,14.61,0.62,87.34,0.31,16.41,46.37,,Yes,CB
8,TMS18F1258P0113,0.99,184.19,46.15,73.47,36.74,39.71,14.44,0.62,87.44,0.35,16.81,35.78,,Yes,
9,TMS18F1447P0005,0.95,203.51,45.82,72.42,36.21,40.38,14.46,0.61,87.53,0.3,16.11,28.63,,Drop,
10,TMS18F1339P0033,0.98,206.05,47.12,73.06,36.53,39.42,14.34,0.61,87.58,0.39,15.03,26.03,,Drop,
11,TMS19F1011P0053,0.99,205.75,40.56,69.23,34.62,42.22,14.38,0.64,87.52,0.38,14.84,15.39,,,
12,TMEB419,0.96,196.17,47.09,70.53,35.27,40.58,14.26,0.6,87.29,0.42,14.93,-3.4,,,
13,TMS18F1258P0114,0.95,209.95,48.91,70.61,35.3,39.34,14.02,0.59,87.58,0.39,16.66,-20.63,,,
14,TMS13F1160P0004,0.93,186.14,48.98,68.58,34.29,40.86,14.05,0.58,87.36,0.36,17.13,-32.66,,,
15,TMS14F1036P0007,0.98,214.67,46.63,69.43,34.72,39.62,14,0.6,87.56,0.24,15.94,-44.7,,,
16,IITA-TMS-IBA30572,0.95,188.53,51.62,66.72,33.36,40.61,13.81,0.56,87.43,0.47,16.66,-55.43,,,
17,TMS18F1310P0145,0.99,202.31,48.69,65.87,32.94,41,13.73,0.57,87.92,0.28,16.9,-55.87,,,
18,IITA-TMS-IBA980581,0.99,183.74,53.23,67.47,33.74,38.8,13.56,0.56,87.56,0.2,17.32,-93.27,,,
19,TMS18F1295P0036,0.99,184.04,52.28,60.16,30.08,41.06,13.01,0.53,87.03,0.47,25.96,-170.58,,,
20,TMS18F1259P0139,0.64,178.22,42.63,64.32,32.16,39.77,13.45,0.6,87.54,0.37,16.44,-173.61,,,
